area_m2,bairro_valorizacao,idade_imovel,vagas_estacionamento,distancia_centro_km,fluxo_pessoas_dia,taxa_vacancia_regiao,tipo_imovel,padrao_construtivo,mes_cadastro,preco
90.91,medio,8,2,7.45,792,6.04,escritorio,alto,1,8264.61
108.79,medio,6,1,8.19,900,12.16,escritorio,baixo,8,5965.27
77.72,medio,34,3,10.83,574,7.88,escritorio,baixo,10,1622.65
119.06,baixo,24,0,16.27,363,18.03,escritorio,alto,3,850
687.08,medio,27,3,7.13,1732,8.76,galpao,alto,6,45559.93
56.13,medio,?,2,6.56,939,13.76,sala_comercial,medio,10,850
24.12,alto,14,0,1.9,4088,2.52,sala_comercial,baixo,1,22169.36
684.45,baixo,10,8,?,1315,20.87,galpao,baixo,?,28422.07
?,?,?,1,7.48,877,15.4,loja,baixo,2,5794.13
18,medio,13,0,4.63,561,4.46,loja,alto,7,850
744.44,medio,15,6,6.69,1497,9.97,galpao,medio,?,44095.44
135.81,baixo,17,0,10.2,457,?,escritorio,medio,3,3178.4
46.94,baixo,5,2,18.55,154,26.21,sala_comercial,medio,8,850
326.34,baixo,17,2,11.82,790,24.99,galpao,medio,8,10575.23
47.99,baixo,19,0,19.39,161,17.29,sala_comercial,medio,1,850
413.96,medio,11,8,11.06,1547,?,galpao,medio,7,27252.76
610.92,baixo,0,5,16.68,1006,19.94,galpao,medio,10,25915.09
2130.38,baixo,69,0,19.95,45,25.93,escritorio,medio,11,6402.82
85.48,alto,6,1,2.06,1356,4.51,?,alto,6,13123.58
56.69,alto,20,?,6.61,1579,5.42,escritorio,alto,2,9138.58
107.11,medio,18,0,12.06,1010,9.42,loja,baixo,1,3840.4
44.75,medio,1,0,7.58,790,8.01,escritorio,baixo,7,3237.83
50.63,alto,22,2,2.65,1418,7.58,sala_comercial,medio,5,6749.86
537.59,baixo,22,4,10.14,936,18.48,galpao,baixo,7,18605.59
119.04,medio,3,0,5.59,?,13.85,loja,medio,1,6503.34
101.04,?,23,0,10.67,621,14.99,loja,baixo,7,850
?,medio,5,3,13.36,822,9.53,loja,medio,5,7371.04
65.29,baixo,3,0,16.92,451,13.55,escritorio,alto,6,850
445.31,?,28,0,16.01,687,15.6,galpao,medio,10,12415.93
52.19,medio,?,0,4.64,1116,14.94,sala_comercial,medio,10,5862.6
117.75,baixo,1,1,15.92,431,15.5,escritorio,medio,8,1727.02
27.02,alto,5,0,?,3813,17.81,sala_comercial,medio,1,13416.88
?,?,5,?,11.26,987,11.95,loja,medio,11,5790.22
622.95,baixo,12,4,11.73,1544,16.18,galpao,medio,9,29418.46
864.76,alto,29,1,?,5124,6.94,?,medio,12,193608.4
622.76,medio,8,2,10.17,1483,10.87,galpao,medio,10,34822.98
59.94,?,25,?,13.81,701,12.93,sala_comercial,medio,6,850
69.03,alto,5,?,4.69,1191,6.46,sala_comercial,baixo,3,6607.71
18,alto,31,0,0.4,1430,1.5,escritorio,alto,11,4364.71
57.55,alto,23,0,6.08,1452,5.41,sala_comercial,medio,10,4582.59
?,baixo,9,0,4.26,803,16.97,loja,medio,8,6302.0
118.57,alto,4,?,3.06,1453,2.45,escritorio,medio,3,16116.59
116.14,alto,10,2,3.43,1829,7.49,loja,medio,12,15893.38
92.18,alto,10,0,4.28,1268,7.94,sala_comercial,alto,6,10790.59
113.67,alto,20,2,1.82,1635,5.49,loja,baixo,10,13387.48
152.96,baixo,21,3,11.77,734,13.34,escritorio,medio,12,4190.98
39.92,baixo,36,0,17.89,132,12.42,loja,medio,12,850
48.35,baixo,4,2,13.19,529,16.57,?,alto,8,1166.34
216.62,baixo,10,2,15.25,502,19.32,loja,medio,6,7127.71
763.08,?,31,8,?,2624,2.88,galpao,medio,11,60147.85
50.02,alto,0,3,3.9,1809,6.33,sala_comercial,baixo,1,9556.37
31.56,medio,5,2,8.33,822,11.32,sala_comercial,alto,7,4341.68
24.91,?,7,1,11.62,854,12.45,sala_comercial,?,6,850
59.71,medio,9,0,11.22,785,4.83,sala_comercial,baixo,2,3905.33
159.74,alto,12,1,6.65,1541,6.21,loja,baixo,2,15235.38
641.23,alto,12,6,2.23,?,?,galpao,alto,1,60313.95
41.84,medio,4,0,8.13,876,10.04,sala_comercial,medio,6,3089.33
813.08,baixo,48,6,15.34,1046,16.69,?,medio,2,30930.81
27.77,alto,10,1,2.33,4188,12.56,escritorio,baixo,7,23921.52
148.53,alto,4,1,3.72,1623,8.85,loja,baixo,3,12763.37
178.88,medio,20,1,10.63,1113,9.36,loja,medio,1,11735.78
56.26,medio,14,0,13.97,653,?,sala_comercial,baixo,3,850
?,alto,4,1,2.59,1043,2.7,sala_comercial,alto,6,4801.22
115.81,baixo,?,1,12.56,427,14.25,loja,medio,8,2954.98
26.04,medio,5,0,?,903,10.73,sala_comercial,medio,3,850
59.17,medio,15,0,6.37,812,11.58,sala_comercial,medio,7,2544.92
444.09,baixo,4,0,13.54,540,21.7,galpao,medio,7,15143.44
664.16,medio,5,8,7.24,1435,11.42,galpao,baixo,3,33201.0
213.78,baixo,9,2,17.41,143,13.64,?,baixo,7,2930.56
106.74,medio,8,2,8.3,1073,10.74,sala_comercial,alto,12,7570.42
89.44,medio,26,2,5.28,988,5.5,sala_comercial,alto,6,6973.25
203.07,baixo,17,4,14.77,365,12.18,loja,medio,4,5477.46
142.44,alto,22,1,6.28,1776,8.0,escritorio,baixo,3,11783.95
197.18,medio,6,3,11.73,783,14.14,loja,alto,12,13053.27
85.16,medio,2,1,9.91,1153,11.6,escritorio,alto,6,5632.0
18,alto,9,0,?,1374,6.05,sala_comercial,baixo,4,2857.51
69.67,medio,8,1,13.03,1210,10.13,sala_comercial,baixo,10,2464.52
58.46,medio,7,2,6.4,850,13.05,sala_comercial,medio,2,4308.37
54.52,baixo,22,0,17.93,372,12.66,sala_comercial,alto,9,850
99.99,baixo,17,3,8.93,579,14.24,escritorio,baixo,3,1268.03
79.12,alto,34,1,3.27,1008,5.77,sala_comercial,baixo,6,4458.01
557.06,baixo,16,8,13.43,1166,13.16,galpao,medio,7,26474.68
110.91,medio,13,?,5.78,929,11.1,escritorio,alto,2,8851.64
151.85,baixo,5,0,7.35,615,?,loja,medio,3,5695.25
478.23,baixo,12,1,12.48,1065,16.41,galpao,medio,1,21924.02
125.68,medio,9,?,9.59,912,13.04,escritorio,medio,3,6581.39
51.76,alto,12,0,2.2,824,5.59,sala_comercial,medio,?,6032.85
129.55,baixo,13,0,?,804,24.0,escritorio,medio,?,2127.36
82.06,baixo,11,1,9.9,733,12.64,escritorio,baixo,11,1940.57
195.19,medio,26,2,10.42,1385,7.13,loja,medio,5,11223.24
18,medio,16,?,7.2,322,5.66,escritorio,baixo,5,850
645.22,alto,6,7,1.25,2658,7.54,galpao,baixo,6,55566.31
34.99,baixo,13,3,19.31,361,20.27,escritorio,medio,3,850
130.64,alto,5,?,3.98,?,7.06,escritorio,baixo,11,12035.65
92.67,baixo,51,0,8.66,500,24.27,escritorio,baixo,9,850
122.75,medio,16,1,8.39,475,9.66,loja,baixo,?,3657.58
109.11,medio,?,2,11.51,495,13.11,sala_comercial,baixo,1,3158.8
176.13,baixo,29,2,18.52,123,16.82,loja,medio,5,1489.36
464.95,baixo,16,3,13.48,958,15.61,galpao,alto,3,23641.65
83.6,medio,11,0,13.25,566,7.5,escritorio,baixo,7,1511.87
98.84,?,6,4,4.86,1304,5.92,loja,baixo,1,10396.75
190.07,medio,12,1,5.92,1269,7.63,loja,baixo,1,11715.15
192.11,baixo,10,0,13.36,414,16.01,loja,medio,9,6026.59
733.34,medio,39,10,9.17,2328,6.52,galpao,medio,4,44360.62
?,alto,10,2,5.93,1379,5.96,loja,baixo,4,12782.57
18,medio,9,0,11.85,696,14.79,sala_comercial,alto,12,850
591.7,medio,7,6,10.38,1298,14.8,galpao,medio,2,32995.48
142.46,baixo,6,1,11.87,537,13.67,loja,medio,?,5412.53
157.23,baixo,10,3,10.9,602,24.37,loja,alto,11,8300.83
244.76,alto,19,2,3.59,1189,6.02,loja,medio,5,21421.84
113.96,?,7,2,11.86,450,18.42,loja,alto,?,4565.85
85.32,medio,2,0,7.57,958,8.47,loja,medio,?,4481.75
220.98,medio,10,2,5.46,1325,11.36,loja,alto,3,18349.91
89.7,medio,2,0,8.9,614,8.6,loja,medio,4,5425.42
963.55,medio,13,7,7.08,1743,15.36,galpao,medio,1,53706.72
151.72,medio,11,0,7.47,1052,10.12,escritorio,?,5,11110.67
35.48,alto,10,0,5.43,1422,5.75,escritorio,alto,7,7438.29
245.41,medio,14,6,11.88,777,11.0,galpao,baixo,12,11974.57
208.63,medio,9,0,6.98,864,10.28,?,medio,12,12578.38
89.58,medio,10,2,15.88,364,16.02,escritorio,alto,7,3108.4
194.89,baixo,15,2,18.79,288,15.15,loja,medio,7,3510.68
113.21,medio,15,0,7.36,1029,13.94,escritorio,alto,5,8364.08
83.59,alto,8,2,2.26,1324,4.95,escritorio,baixo,3,8025.23
172.88,baixo,9,2,18.11,944,18.23,loja,medio,10,13467.67
686.27,baixo,18,4,17.46,?,12.8,galpao,baixo,?,20921.44
35.9,medio,5,2,10.74,1127,10.87,sala_comercial,baixo,3,3876.4
77.75,baixo,19,1,11.99,168,14.95,escritorio,medio,2,850
140.7,medio,12,2,10.14,827,16.05,escritorio,alto,3,8798.67
?,baixo,10,1,19.66,295,21.73,escritorio,baixo,12,850
442.21,medio,9,8,8.65,1516,10.43,?,medio,9,27989.78
164.19,alto,3,0,2.03,1391,8.93,loja,alto,9,22014.98
536.85,?,9,7,6.8,1414,8.04,galpao,baixo,2,28531.67
65.97,medio,12,0,?,909,4.51,sala_comercial,baixo,8,3628.11
54.21,medio,20,0,10.27,646,7.71,sala_comercial,medio,7,850
97.0,baixo,2,0,20.85,351,12.72,escritorio,medio,8,850
89.38,medio,16,1,6.37,849,11.58,loja,alto,7,5532.5
149.98,medio,15,2,9.64,1007,8.09,loja,medio,4,11125.0
30.43,baixo,19,?,19.33,224,18.09,sala_comercial,baixo,3,850
838.87,alto,13,7,0.4,2997,4.28,galpao,alto,11,83584.03
21.13,medio,22,0,7.44,780,7.24,sala_comercial,baixo,5,850
83.19,medio,9,3,8.58,934,15.28,loja,alto,7,8388.02
54.75,baixo,33,0,11.91,344,13.16,loja,medio,3,850
175.3,baixo,5,0,12.09,669,15.44,loja,medio,7,5534.94
184.14,baixo,31,3,19.27,218,16.21,loja,baixo,8,1902.58
92.67,medio,3,2,11.07,874,12.49,sala_comercial,baixo,2,2165.97
208.9,baixo,28,2,?,443,16.51,loja,alto,?,6869.78
78.29,medio,27,3,14.67,1010,10.75,sala_comercial,medio,2,4104.16
613.47,alto,0,7,9.75,1883,6.04,galpao,medio,5,48325.12
197.86,medio,17,3,5.73,1203,?,escritorio,medio,9,11116.43
65.7,medio,17,1,9.92,707,10.54,sala_comercial,alto,1,2757.78
67.21,medio,2,0,3.19,1096,14.58,escritorio,baixo,8,4865.1
40.99,baixo,5,0,12.64,375,?,loja,medio,12,850
73.93,baixo,15,3,17.56,256,18.64,sala_comercial,medio,10,850
162.1,medio,6,2,5.03,1444,10.13,escritorio,alto,2,15848.07
176.46,medio,7,1,11.1,1038,7.46,loja,?,?,9883.85
104.9,alto,6,1,4.55,1452,3.55,loja,alto,5,12806.09
50.9,alto,7,1,1.89,1177,5.46,sala_comercial,?,7,6426.46
33.98,alto,4,1,3.31,1683,7.48,sala_comercial,baixo,1,6184.85
80.2,baixo,4,?,10.97,692,9.85,loja,medio,7,3235.09
95.45,baixo,12,0,12.04,190,?,loja,medio,10,850
860.91,medio,19,3,11.96,1383,8.87,galpao,alto,3,58091.79
90.0,medio,16,1,9.07,472,8.6,sala_comercial,alto,5,4066.91
48.17,medio,5,?,?,620,3.98,sala_comercial,medio,4,3763.21
3091.05,medio,39,2,11.11,1011,26.35,escritorio,baixo,9,6182.34
110.1,medio,?,0,7.35,1103,10.36,escritorio,baixo,8,4919.52
153.82,baixo,4,2,13.07,310,18.07,loja,alto,6,5254.79
38.16,baixo,?,0,18.61,355,21.75,sala_comercial,baixo,12,850
57.85,medio,46,1,9.76,763,7.04,sala_comercial,medio,12,850
67.16,alto,34,1,2.38,1763,5.78,loja,medio,8,9059.91
51.31,alto,15,0,2.99,1259,8.42,loja,baixo,?,7256.19
65.38,baixo,14,1,16.47,307,18.33,escritorio,medio,5,850
195.45,alto,14,0,8.99,1376,8.12,loja,baixo,8,12774.06
150.95,medio,10,0,6.63,1113,8.72,loja,medio,11,9151.92
109.93,alto,2,0,3.92,1019,5.74,loja,medio,7,11753.02
24.05,medio,28,0,2.58,888,12.49,?,medio,10,850
95.78,medio,?,0,5.73,?,10.45,?,medio,8,5130.53
126.13,alto,27,1,6.19,2115,6.82,loja,alto,1,16171.92
18,baixo,2,1,10.94,440,20.9,loja,medio,?,850
222.35,medio,39,1,11.61,1096,9.31,loja,alto,3,13067.1
49.93,baixo,6,0,9.41,279,20.19,sala_comercial,medio,4,850
106.91,baixo,7,0,20.24,407,14.65,escritorio,baixo,6,850
64.85,alto,18,0,3.87,1358,6.34,sala_comercial,baixo,9,5321.42
32.82,alto,15,0,2.94,1335,2.36,sala_comercial,medio,11,7461.5
130.43,?,33,4,2.53,1985,3.75,loja,medio,1,17020.44
18,medio,16,3,?,920,10.03,sala_comercial,medio,10,1791.13
621.69,medio,24,3,8.69,1864,10.76,?,medio,8,37061.71
74.36,medio,31,3,7.48,1068,4.24,escritorio,baixo,9,7502.82
40.03,baixo,22,0,9.67,319,12.6,sala_comercial,medio,5,850
44.03,medio,24,0,8.11,919,9.46,sala_comercial,baixo,3,850
18,baixo,15,0,15.08,288,16.51,sala_comercial,medio,10,850
60.21,medio,21,1,13.47,571,13.01,sala_comercial,baixo,3,1778.76
159.77,medio,12,2,8.6,1052,11.11,escritorio,medio,1,8519.22
57.9,?,14,0,11.13,?,15.29,sala_comercial,baixo,8,850
93.2,medio,24,1,7.93,928,4.08,?,alto,7,7380.29
688.2,medio,9,?,5.9,1772,4.93,galpao,alto,10,52059.15
135.46,baixo,3,0,19.85,?,16.01,loja,baixo,8,2024.27
82.23,alto,17,0,4.36,1618,4.84,sala_comercial,medio,4,7686.53
74.7,baixo,2,0,14.96,598,17.09,escritorio,medio,9,3640.48
200.6,medio,1,3,?,940,10.82,loja,medio,?,15456.54
70.51,medio,?,0,7.78,614,5.56,loja,medio,3,4480.82
247.1,baixo,14,5,16.69,?,13.55,galpao,baixo,11,5355.76
51.55,medio,10,0,8.15,818,9.14,?,alto,6,5079.0
529.49,medio,5,6,6.74,1554,10.07,galpao,medio,11,31833.92
84.07,alto,3,0,?,1238,3.97,escritorio,medio,?,8296.4
76.66,medio,22,?,8.1,809,5.33,?,medio,3,4152.44
?,alto,?,1,0.98,1456,6.87,sala_comercial,medio,11,4303.79
103.25,baixo,7,1,19.52,231,5.86,escritorio,medio,3,1549.01
150.81,baixo,10,0,17.95,128,15.0,escritorio,medio,8,850
49.34,medio,24,2,?,935,6.72,sala_comercial,medio,11,2382.26
111.84,medio,30,2,3.4,1429,6.79,escritorio,medio,1,8518.39
233.42,baixo,5,0,?,410,12.03,loja,baixo,2,4770.9
38.53,baixo,8,2,18.69,217,13.96,sala_comercial,baixo,9,850
106.31,medio,10,1,6.79,636,11.98,escritorio,medio,7,5689.08
101.45,alto,7,0,3.61,1673,5.61,loja,medio,7,12162.97
?,medio,16,?,9.28,679,11.47,escritorio,alto,1,850
46.08,baixo,13,0,3.3,930,15.93,escritorio,medio,5,2839.07
45.66,medio,49,0,9.79,759,12.54,sala_comercial,medio,10,850
260.83,baixo,13,5,22.58,330,17.7,loja,baixo,9,7647.68
174.97,medio,32,1,10.36,1200,8.72,loja,alto,1,10199.35
91.89,baixo,2,4,11.43,317,20.01,loja,medio,6,1898.27
60.74,alto,3,1,3.04,1619,9.43,sala_comercial,alto,7,11929.22
18,baixo,12,1,6.37,603,18.04,escritorio,baixo,12,850
709.96,baixo,9,6,10.6,1019,20.1,galpao,alto,7,42124.85
81.75,medio,20,0,10.75,951,8.38,loja,medio,8,4052.9
122.13,medio,4,0,13.87,567,12.47,loja,?,?,3925.38
115.24,baixo,10,0,3.46,700,12.86,sala_comercial,medio,1,4710.76
59.53,medio,4,0,9.34,1269,10.46,sala_comercial,?,8,3433.26
?,baixo,?,0,16.79,129,22.71,?,alto,5,850
87.18,medio,2,0,12.72,681,9.94,loja,medio,9,4823.69
37.92,alto,15,1,5.11,?,8.2,sala_comercial,medio,5,5570.89
137.09,medio,17,1,5.24,800,11.36,loja,baixo,9,7639.7
147.22,medio,8,0,8.64,1161,14.55,loja,medio,6,9718.73
508.41,baixo,44,0,19.17,643,15.47,galpao,baixo,5,9161.76
38.69,baixo,59,1,15.97,146,11.19,sala_comercial,alto,4,850
