area_m2,bairro_valorizacao,idade_imovel,distancia_centro_km,fluxo_pessoas_dia,preco
249.06,medio,8,6.05,1100,14362.36
295.3,baixo,11,13.46,1051,15936.24
179.76,medio,6,14.44,1027,8860.11
150.39,medio,7,5.81,1038,11658.63
95.32,baixo,16,15.87,510,2246.27
159.63,medio,30,11.4,933,8048.74
171.92,alto,11,2.17,1996,16326.43
341.7,baixo,7,13.09,966,10026.0
56.39,medio,24,4.17,1197,5302.85
373.37,baixo,23,14.72,831,14102.52
39.83,medio,10,12.9,899,3527.12
142.59,alto,24,4.58,1740,14745.79
280.88,medio,16,3.03,1487,14586.11
145.98,baixo,11,14.82,894,5720.22
38.42,medio,19,16.32,512,900.0
299.2,baixo,17,9.92,861,12508.51
479.8,baixo,18,17.14,1114,14196.11
157.81,alto,11,5.16,1401,11886.55
83.15,baixo,24,10.03,670,2422.51
59.21,medio,7,5.15,909,4852.86
266.15,medio,6,10.14,992,14382.87
106.67,medio,13,7.12,853,7163.45
155.82,medio,9,4.27,1255,9597.6
97.28,baixo,5,13.06,669,4904.06
323.82,alto,14,5.3,2086,24388.65
263.09,baixo,7,11.59,884,12686.25
126.86,baixo,26,13.8,693,4335.23
159.15,medio,9,3.43,1348,10368.63
122.59,baixo,15,6.32,719,5081.2
135.35,baixo,5,15.68,656,3734.35
152.49,medio,12,11.58,971,10190.4
123.0,medio,22,9.91,1138,7354.47
106.52,baixo,12,15.51,468,2219.47
81.69,medio,4,6.48,1064,6571.42
187.31,baixo,2,10.78,1180,8977.99
55.19,alto,15,4.22,1325,8651.76
34.77,alto,14,5.41,1640,4766.44
62.02,medio,8,9.2,1067,5916.5
91.13,medio,13,16.99,533,2817.47
69.41,medio,5,5.21,1177,4449.79
117.69,alto,11,6.42,1493,9376.65
60.69,medio,37,2.97,1252,9216.03
324.97,baixo,11,15.39,1070,10859.87
47.79,medio,11,4.88,977,3535.44
305.01,medio,8,10.52,1175,13149.18
256.2,medio,14,6.93,1243,10808.27
162.85,baixo,4,7.67,639,7138.04
147.74,alto,10,7.23,1616,14297.17
79.98,baixo,18,13.87,483,900.0
72.7,medio,10,11.4,738,4525.81
235.64,alto,30,5.15,1639,16705.21
134.07,medio,46,7.87,1017,4592.18
218.64,baixo,5,17.55,594,8157.09
53.53,medio,27,10.33,860,3818.01
167.3,baixo,4,10.65,777,7030.81
149.68,baixo,13,10.99,718,4189.61
30.77,alto,6,5.71,1466,6554.98
62.49,baixo,10,12.71,504,2797.35
116.59,baixo,19,7.73,839,5318.39
184.72,medio,11,6.03,1460,13677.55
265.34,baixo,8,17.39,473,7546.89
105.59,medio,33,13.14,959,4520.93
448.81,baixo,1,9.07,899,16379.49
36.28,baixo,3,22.62,385,900.0
133.49,baixo,10,14.47,724,3818.42
20.0,medio,20,12.37,465,900.0
302.2,baixo,1,12.9,1194,10910.01
20.0,baixo,1,13.38,453,900.0
62.74,baixo,8,17.0,314,1254.65
265.75,alto,11,2.8,1972,21323.73
27.94,medio,6,6.82,971,5148.99
198.14,baixo,10,13.97,847,6898.16
42.54,medio,26,16.25,490,900.0
139.24,baixo,11,18.71,578,5406.19
212.56,baixo,18,16.4,574,6888.21
166.06,medio,31,11.77,1046,7697.48
157.39,medio,14,5.19,1429,9397.2
221.78,baixo,12,24.31,437,4164.52
50.61,medio,2,2.5,1063,3706.46
20.0,medio,17,11.61,736,1429.16
244.53,medio,15,7.9,1507,12350.03
36.67,alto,23,1.17,1457,4270.1
65.46,baixo,29,15.15,263,900.0
181.83,baixo,20,14.26,450,5220.95
284.82,baixo,14,21.5,678,11159.19
236.95,alto,11,3.22,1885,16969.87
138.54,medio,13,7.79,1036,9720.4
259.91,medio,13,4.67,1203,15955.39
192.38,baixo,7,16.7,654,6288.18
135.56,alto,49,3.12,1601,10387.57
135.14,alto,40,4.27,1308,12498.68
129.51,alto,17,6.77,1429,13861.39
119.49,baixo,5,14.55,508,3959.73
113.97,medio,22,13.21,524,3876.18
135.88,medio,32,4.5,1094,7094.61
523.72,baixo,10,22.07,621,17998.02
194.45,baixo,7,16.38,886,7914.12
149.92,alto,27,4.65,1757,13152.51
290.9,medio,30,7.89,1553,20345.41
200.65,alto,10,5.29,1379,14614.07
140.59,baixo,56,20.93,531,1628.79
140.97,medio,9,9.26,1041,7204.16
95.53,baixo,12,14.33,563,3741.49
119.21,medio,19,13.21,749,4111.59
77.76,medio,16,9.15,913,5108.99
51.49,baixo,25,9.45,732,2372.09
99.66,medio,6,6.22,768,7912.58
161.25,medio,21,10.27,1157,7112.16
116.76,medio,10,7.91,1115,8969.94
428.8,medio,35,8.42,1261,18501.56
200.1,baixo,34,13.01,772,4497.26
271.75,medio,53,9.48,1252,13486.83
198.21,alto,1,8.24,2054,21193.0
93.59,medio,9,9.56,929,7109.67
72.44,medio,29,8.05,833,2708.49
68.57,baixo,14,6.51,743,3365.66
64.28,baixo,10,13.07,494,1064.74
59.07,baixo,17,10.78,525,1839.54
93.19,baixo,21,8.47,798,2945.39
320.42,medio,20,5.32,1333,15806.84
47.33,baixo,8,18.34,271,900.0
75.89,baixo,32,19.59,494,900.0
326.24,medio,3,7.71,1644,15311.02
203.51,baixo,6,10.4,723,7899.41
361.05,medio,7,9.06,1251,17493.68
228.04,medio,18,8.52,1310,11254.19
368.98,alto,23,5.72,1999,31505.14
240.21,medio,27,12.13,996,11280.14
106.87,baixo,5,8.71,635,4040.56
107.91,medio,12,3.76,1053,6839.48
211.78,baixo,8,25.18,758,5884.41
51.88,medio,22,10.64,613,1525.38
231.79,alto,13,7.87,1474,16411.19
39.09,baixo,2,19.13,131,900.0
325.01,baixo,9,16.45,896,14633.15
205.34,medio,15,5.77,1286,14473.25
155.07,baixo,8,17.78,381,3219.53
67.38,medio,14,5.57,1071,7761.14
278.5,alto,12,11.48,1468,17226.13
97.43,medio,18,4.82,1150,6239.73
124.11,alto,7,2.27,1556,13129.57
67.52,medio,27,7.8,910,4587.9
171.08,baixo,0,14.03,322,5712.3
230.91,medio,15,13.95,1156,10553.65
129.28,baixo,5,19.86,603,3984.38
300.57,alto,16,5.89,1697,26071.93
60.79,alto,28,2.85,1490,11357.22
174.15,medio,10,2.03,1263,12144.94
150.98,medio,13,3.78,1402,10238.89
172.95,medio,30,13.25,946,8059.63
85.83,medio,16,5.76,1324,6499.28
247.1,baixo,24,17.45,673,7551.79
161.74,alto,14,4.63,1524,16153.42
124.19,medio,2,9.44,979,6910.53
83.79,baixo,60,8.12,697,900.0
81.59,alto,27,4.39,1285,6040.54
312.17,alto,15,6.83,2043,27267.47
67.13,baixo,23,4.73,918,2767.7
188.4,medio,8,7.29,1010,7457.46
162.5,baixo,8,21.8,339,4646.53
89.89,medio,21,11.28,884,5536.34
132.67,baixo,12,8.79,971,8381.81
332.31,baixo,17,10.75,743,12823.66
139.1,baixo,31,11.98,503,3723.72
143.63,baixo,10,16.61,510,3950.46
152.48,alto,34,4.51,1750,12936.41
412.58,medio,4,8.8,1454,17330.42
41.32,medio,15,8.9,939,4359.67
172.98,baixo,10,8.65,690,5505.97
104.61,baixo,9,16.18,546,2334.55
115.08,alto,19,3.22,1548,10762.39
61.82,alto,25,3.94,1883,7380.94
145.32,baixo,45,15.68,806,3519.41
23.13,alto,36,6.65,1440,3323.27
181.4,baixo,15,15.28,715,4200.06
33.35,alto,6,3.82,1390,5350.65
113.79,medio,11,9.71,1050,8453.71
203.76,baixo,11,7.9,896,9135.19
194.69,alto,12,2.09,1921,23346.35
195.94,medio,10,5.59,1493,11691.05
134.44,baixo,11,13.25,532,3137.75
72.21,medio,30,11.46,941,2474.64
97.79,alto,20,4.75,1837,10040.45
79.16,baixo,36,8.8,448,1828.33
130.86,alto,14,5.53,1862,11348.54
40.96,baixo,13,10.85,330,900.0
186.92,alto,26,3.14,1932,15685.11
77.81,baixo,11,10.69,366,2682.61
68.18,medio,8,4.8,997,4509.95
204.94,baixo,15,9.32,883,8220.23
156.26,medio,2,9.46,1048,9008.71
120.44,medio,29,11.24,900,6181.93
85.47,baixo,1,8.74,871,5545.4
58.5,baixo,9,10.88,573,2680.48
20.26,medio,1,6.01,1143,3040.47
103.46,medio,20,6.95,997,3992.14
334.71,medio,37,7.64,1356,17710.02
120.96,baixo,0,12.3,547,4269.51
183.8,alto,27,1.57,1725,16119.25
170.44,alto,9,1.2,1927,16602.23
161.13,medio,1,12.88,1065,12340.98
260.91,medio,11,20.09,1178,10766.51
163.85,baixo,0,13.75,676,6476.83
267.41,medio,20,5.4,987,12445.13
182.98,alto,11,5.78,1787,15095.04
187.53,medio,14,13.98,1166,8858.44
95.4,medio,30,6.27,1220,7169.28
