id_imovel,tipo_imovel,zona,area_m2,vagas_estacionamento,banheiros,idade_imovel_anos,distancia_centro_km,andar,estado_conservacao,fluxo_pessoas,tem_climatizacao,documentacao_regular,cor_fachada,preco_aluguel_mensal
COM-0015,Quiosque,Área Industrial,26.87,0.0,1,31.0,14.49,0,Novo,Alto,Não,Sim,Cinza,800.0
COM-0016,Escritório,Zona Norte,135.54,1.0,1,2.0,11.29,0,Bom,Muito Alto,Não,Sim,Cinza,17423.63
COM-0017,Quiosque,Zona Oeste,13.79,0.0,1,20.0,5.61,0,Bom,Baixo,Sim,Sim,Amarela,800.0
COM-0018,Galpão,Centro,732.92,7.0,5,,1.02,0,Regular,Médio,Não,Sim,Branca,51343.82
COM-0019,Galpão,Zona Sul,1102.68,12.0,9,,6.78,0,Novo,Médio,Não,Sim,Azul,82473.35
COM-0020,Loja,Área Industrial,36.32,0.0,1,0.0,16.18,0,Precisa Reforma,Baixo,Sim,Sim,Bege,800.0
COM-0021,Galpão,Centro,603.83,7.0,4,50.0,0.2,0,Regular,Muito Alto,Sim,Sim,Amarela,65646.98
COM-0022,Sala Comercial,Centro,29.7,0.0,1,15.0,5.71,6,Bom,Alto,Não,Sim,Vermelha,800.0
COM-0023,Prédio Comercial,Zona Sul,1105.4,14.0,8,0.0,5.3,7,Bom,Baixo,Sim,Sim,Amarela,100519.41
COM-0024,Sala Comercial,Zona Norte,74.22,0.0,1,3.0,7.81,7,Novo,Alto,Sim,Sim,Cinza,3234.93
COM-0025,Loja,Zona Norte,74.03,2.0,1,31.0,10.03,0,Regular,Médio,Sim,Não,Amarela,1055.66
COM-0026,Galpão,Zona Norte,783.47,9.0,7,9.0,6.18,0,Bom,Médio,Sim,Sim,Cinza,45277.84
COM-0027,Sala Comercial,Zona Sul,60.72,1.0,1,15.0,3.04,3,Regular,Alto,Sim,Sim,Bege,2979.82
COM-0028,Escritório,Zona Norte,137.6,1.0,1,0.0,11.88,13,Novo,Médio,Sim,Sim,Bege,5364.92
COM-0029,Quiosque,Zona Sul,29.19,0.0,1,14.0,8.97,0,Regular,Médio,Sim,Não,Bege,800.0
COM-0030,Loja,Centro,63.48,1.0,1,22.0,3.97,0,Regular,Médio,Sim,Sim,Bege,3651.01
COM-0031,Sala Comercial,Centro,,0.0,1,43.0,0.2,8,Bom,Muito Alto,Não,,Cinza,2403.1
COM-0032,Sala Comercial,Área Industrial,49.73,2.0,1,8.0,15.21,15,Precisa Reforma,Médio,Sim,Sim,Branca,800.0
COM-0033,Galpão,Zona Sul,800.16,7.0,5,33.0,8.45,0,Regular,Baixo,Sim,Sim,Bege,37819.79
COM-0034,Galpão,Centro,827.68,8.0,7,5.0,0.2,0,Bom,Alto,Sim,Sim,Bege,92178.13
COM-0035,Sala Comercial,Centro,59.71,0.0,1,10.0,2.66,1,Regular,Médio,Sim,Sim,Amarela,2468.23
COM-0036,Galpão,Zona Norte,455.86,6.0,3,16.0,14.25,0,Bom,Alto,Sim,Sim,Azul,32824.4
COM-0037,Prédio Comercial,Zona Norte,417.82,3.0,3,24.0,12.54,2,Bom,Alto,Sim,Sim,Amarela,32633.78
COM-0038,Quiosque,Centro,23.23,1.0,1,12.0,4.36,0,Bom,Médio,Não,Não,Azul,800.0
COM-0039,Sala Comercial,Centro,48.06,1.0,1,10.0,0.79,0,Regular,Alto,Não,Sim,Vermelha,2804.04
COM-0040,Loja,Área Industrial,93.27,0.0,1,10.0,14.58,0,Bom,Muito Alto,Não,Sim,Cinza,5434.6
COM-0041,Galpão,Zona Leste,2872.31,6.0,4,11.0,15.04,0,Precisa Reforma,Alto,Sim,Sim,Bege,10100.85
COM-0042,Loja,Zona Leste,212.17,3.0,2,44.0,6.92,0,Regular,Baixo,Sim,Sim,Cinza,5319.58
COM-0043,Loja,Zona Sul,86.91,1.0,1,0.0,6.66,0,Regular,Médio,Sim,Não,Vermelha,3433.06
COM-0044,Escritório,Zona Sul,153.15,1.0,1,3.0,12.3,4,Regular,Médio,Sim,Sim,Cinza,6640.35
COM-0045,Escritório,Zona Oeste,50.87,1.0,2,6.0,13.1,6,Regular,Muito Alto,Não,Sim,Cinza,1568.46
COM-0046,Escritório,Área Industrial,50.2,0.0,2,1.0,6.28,4,Bom,Alto,Não,Sim,Azul,2090.77
COM-0047,Quiosque,Zona Oeste,16.48,0.0,1,12.0,5.71,0,Regular,Baixo,Não,Sim,Verde,800.0
COM-0048,Escritório,Área Industrial,78.7,0.0,3,23.0,13.06,3,Regular,Médio,Sim,,Verde,1192.93
COM-0049,Sala Comercial,Zona Oeste,59.38,0.0,1,33.0,8.84,7,Bom,Médio,Sim,Sim,Verde,800.0
COM-0050,Sala Comercial,Área Industrial,83.17,0.0,2,9.0,15.54,12,Precisa Reforma,Médio,Não,Sim,Cinza,800.0
COM-0051,Quiosque,Centro,19.69,0.0,1,,0.2,0,Precisa Reforma,Baixo,Não,Sim,Branca,800.0
COM-0052,Galpão,Zona Norte,564.68,7.0,6,25.0,13.44,0,Regular,Médio,Não,Sim,Amarela,26044.86
COM-0053,Loja,Centro,78.55,0.0,1,,3.33,0,Bom,Médio,Não,Sim,Vermelha,1988.51
COM-0054,Escritório,Centro,52.28,0.0,1,32.0,0.85,10,Bom,Muito Alto,Sim,Sim,Branca,3964.3
COM-0055,Escritório,Zona Norte,123.89,,2,,11.06,12,Bom,Médio,Não,Sim,Azul,4490.92
COM-0056,Sala Comercial,Área Industrial,73.79,0.0,1,35.0,16.29,9,Regular,Muito Alto,Sim,Sim,Cinza,800.0
COM-0057,Sala Comercial,Zona Sul,37.0,2.0,1,13.0,3.36,14,Bom,Alto,Sim,Sim,Amarela,2561.04
COM-0058,Galpão,Área Industrial,810.09,6.0,6,9.0,18.93,0,Regular,Baixo,Sim,Sim,Vermelha,34203.67
COM-0059,Galpão,Centro,451.88,4.0,4,11.0,0.2,0,Precisa Reforma,Médio,Sim,Sim,Azul,24868.89
COM-0060,Loja,Zona Norte,130.19,2.0,1,1.0,6.66,0,Bom,Alto,Sim,Sim,Vermelha,6372.37
COM-0061,Galpão,Zona Leste,477.57,5.0,4,6.0,17.43,0,Bom,Médio,Sim,Sim,Bege,22789.06
COM-0062,Escritório,Área Industrial,94.84,0.0,1,1.0,16.97,14,Regular,Médio,Sim,Sim,Bege,1794.68
COM-0063,Loja,Centro,145.97,3.0,1,4.0,2.71,0,Bom,Médio,Sim,Sim,Bege,11024.84
COM-0064,Escritório,Zona Leste,111.02,1.0,1,59.0,13.29,14,Regular,Médio,Não,Sim,Verde,800.0
COM-0065,Sala Comercial,Zona Oeste,55.54,1.0,1,7.0,12.88,15,Regular,Médio,Sim,Sim,Branca,800.0
COM-0066,Escritório,Zona Norte,158.56,1.0,2,11.0,8.48,2,Bom,Muito Alto,Sim,Sim,Vermelha,8437.47
COM-0067,Loja,Centro,13.81,0.0,1,43.0,1.95,0,Bom,Médio,Sim,Sim,Bege,800.0
COM-0068,Sala Comercial,Área Industrial,62.97,1.0,1,2.0,12.04,12,Bom,Alto,Sim,Não,Cinza,2569.92
COM-0069,Escritório,Zona Oeste,136.28,0.0,1,42.0,14.06,7,Precisa Reforma,Médio,Sim,,Verde,800.0
COM-0070,Loja,Zona Norte,133.94,,1,,11.02,0,Regular,Médio,Sim,Sim,Azul,4047.93
COM-0071,Quiosque,Zona Sul,15.3,0.0,1,36.0,6.57,0,Precisa Reforma,Médio,Não,Sim,Verde,800.0
COM-0072,Loja,Zona Sul,146.77,2.0,2,5.0,8.0,0,Novo,Médio,Sim,Sim,Bege,9471.93
COM-0073,Escritório,Zona Norte,149.29,1.0,2,9.0,11.2,2,Precisa Reforma,Médio,Sim,Sim,Branca,3766.94
COM-0074,Quiosque,Zona Norte,19.0,0.0,1,0.0,12.94,0,Regular,Alto,Não,Sim,Azul,800.0
COM-0075,Loja,Centro,71.75,1.0,1,5.0,0.2,0,Novo,Baixo,Não,Sim,Azul,5216.98
COM-0076,Sala Comercial,Zona Norte,51.98,0.0,1,18.0,15.89,3,Bom,Alto,Não,Sim,Cinza,800.0
COM-0077,Loja,Centro,34.83,0.0,1,8.0,1.4,0,Bom,Alto,Não,Sim,Vermelha,2813.17
COM-0078,Loja,Zona Leste,47.94,,1,1.0,14.1,0,Regular,Médio,Não,Sim,Vermelha,800.0
COM-0079,Galpão,Centro,526.67,4.0,4,13.0,4.37,0,Precisa Reforma,Alto,Sim,Sim,Cinza,33887.06
COM-0080,Loja,Zona Leste,96.22,0.0,1,1.0,12.68,0,Novo,Médio,Sim,Sim,Cinza,2983.72
COM-0081,Prédio Comercial,Zona Oeste,706.22,6.0,7,0.0,10.11,8,Regular,Médio,Sim,Não,Bege,42546.01
COM-0082,Galpão,Zona Sul,939.11,11.0,7,16.0,5.41,0,Regular,Médio,Não,Sim,Branca,50915.2
COM-0083,Sala Comercial,Zona Sul,48.95,0.0,1,7.0,11.1,12,Regular,Médio,Sim,Sim,Cinza,800.0
COM-0084,Loja,Centro,70.6,0.0,1,9.0,1.12,0,Regular,Médio,Não,Sim,Cinza,3246.36
COM-0085,Galpão,Zona Sul,264.45,3.0,1,0.0,2.73,0,Novo,Médio,Sim,Sim,Azul,18806.29
COM-0086,Prédio Comercial,Zona Leste,670.97,6.0,5,26.0,18.06,2,Bom,Alto,Sim,Sim,Azul,56267.98
COM-0087,Sala Comercial,Zona Leste,54.82,2.0,1,10.0,10.42,13,Bom,Médio,Não,Sim,Cinza,1126.87
COM-0088,Escritório,Zona Norte,150.37,1.0,1,5.0,13.78,6,Bom,Baixo,Sim,Sim,Bege,4658.34
COM-0089,Prédio Comercial,Centro,410.5,5.0,2,2.0,0.2,9,Regular,Médio,Não,Sim,Cinza,31444.94
COM-0090,Sala Comercial,Centro,43.01,0.0,1,48.0,0.78,8,Novo,Médio,Sim,Sim,Cinza,800.0
COM-0091,Prédio Comercial,Centro,698.13,8.0,6,31.0,0.2,0,Regular,Médio,Sim,Sim,Verde,78555.21
COM-0092,Sala Comercial,Área Industrial,90.63,2.0,1,2.0,13.71,3,Bom,Alto,Não,Sim,Branca,3051.41
COM-0093,Galpão,Zona Leste,259.39,2.0,2,4.0,10.29,0,Novo,Alto,Não,Sim,Azul,13829.58
COM-0094,Loja,Zona Oeste,133.39,4.0,1,0.0,7.42,0,Bom,Alto,Sim,Sim,Verde,9075.82
COM-0095,Escritório,Zona Norte,130.22,0.0,1,17.0,7.61,1,Bom,Médio,Sim,Sim,Bege,3633.94
COM-0096,Loja,Centro,241.69,0.0,1,,2.61,0,Regular,Baixo,Sim,Sim,Branca,9514.75
COM-0097,Sala Comercial,Zona Leste,56.9,0.0,1,1.0,13.76,9,Bom,Baixo,Não,Sim,Verde,800.0
COM-0098,Loja,Zona Norte,149.42,1.0,1,20.0,11.87,0,Bom,Alto,Sim,Sim,Azul,8393.12
COM-0099,Sala Comercial,Zona Sul,74.16,0.0,1,6.0,5.78,4,Regular,Muito Alto,Sim,Sim,Cinza,3556.08
COM-0100,Galpão,Zona Oeste,114.72,2.0,1,8.0,10.98,0,Precisa Reforma,Médio,Sim,Sim,Verde,3640.65
COM-0101,Quiosque,Zona Sul,22.98,0.0,1,1.0,9.31,0,Bom,Baixo,Sim,Sim,Cinza,800.0
COM-0102,Galpão,Centro,786.54,7.0,6,18.0,3.4,0,Bom,Alto,Não,Sim,Branca,91870.15
COM-0103,Quiosque,Zona Leste,19.09,0.0,1,3.0,10.45,0,Bom,Baixo,Não,Sim,Vermelha,800.0
COM-0104,Sala Comercial,Zona Norte,63.84,0.0,1,20.0,10.19,15,,Médio,Não,Sim,Verde,800.0
COM-0105,Sala Comercial,Zona Leste,45.23,0.0,1,15.0,10.23,15,Regular,Médio,Sim,Não,Bege,800.0
COM-0106,Escritório,Centro,130.3,0.0,1,5.0,0.2,3,Novo,Médio,Não,Sim,Amarela,10588.84
COM-0107,Escritório,Centro,117.9,1.0,1,8.0,0.2,1,Regular,Médio,Sim,Sim,Bege,6696.33
COM-0108,Galpão,Zona Sul,661.26,9.0,6,30.0,4.63,0,Novo,Médio,Sim,Sim,Vermelha,57134.05
COM-0109,Galpão,Centro,1101.69,13.0,10,32.0,0.2,0,Regular,Alto,Não,Sim,Branca,88146.2
COM-0110,Galpão,Centro,837.46,12.0,7,6.0,1.03,0,Precisa Reforma,Muito Alto,Sim,,Bege,67756.08
COM-0111,Loja,Área Industrial,69.39,0.0,1,5.0,16.22,0,Bom,Alto,Sim,Sim,Verde,2839.54
COM-0112,Sala Comercial,Zona Sul,36.99,0.0,1,7.0,6.26,4,Bom,Muito Alto,Não,Sim,Bege,1600.95
COM-0113,Escritório,Zona Norte,8.0,0.0,1,10.0,13.09,0,Regular,Médio,Sim,Sim,Amarela,800.0
COM-0114,Galpão,Zona Leste,774.0,7.0,6,69.0,20.72,0,Regular,Médio,Sim,Sim,Bege,30681.4
COM-0115,Galpão,Zona Sul,653.34,,5,2.0,6.57,0,Bom,Médio,Não,Sim,Azul,57167.89
COM-0116,Escritório,Zona Sul,56.25,2.0,1,6.0,10.74,12,Bom,Médio,Sim,Sim,Bege,1952.72
COM-0117,Prédio Comercial,Centro,780.06,8.0,5,12.0,0.2,10,Precisa Reforma,Baixo,Não,Sim,Verde,41426.86
COM-0118,Loja,Área Industrial,116.52,1.0,1,12.0,18.17,0,Novo,Baixo,Não,Não,Branca,2421.28
COM-0119,Sala Comercial,Área Industrial,43.46,1.0,1,1.0,18.14,2,Bom,Alto,Não,Sim,Bege,800.0
COM-0120,Galpão,Área Industrial,2619.43,4.0,3,6.0,12.76,0,Precisa Reforma,Muito Alto,Sim,Sim,Amarela,12819.99
COM-0121,Loja,Zona Leste,149.66,1.0,1,6.0,9.25,0,Precisa Reforma,Muito Alto,Não,Sim,Branca,4565.82
COM-0122,Escritório,Zona Leste,66.43,2.0,1,3.0,9.16,9,Novo,Baixo,Não,Sim,Bege,2513.01
COM-0123,Loja,Zona Norte,15.9,2.0,1,17.0,10.71,0,Bom,Médio,Sim,Sim,Azul,800.0
COM-0124,Loja,Centro,118.45,0.0,2,0.0,2.42,0,Regular,Alto,Sim,Não,Azul,6134.91
COM-0125,Sala Comercial,Zona Leste,25.34,1.0,1,49.0,12.45,14,Bom,Alto,Não,Sim,Azul,800.0
COM-0126,Loja,Área Industrial,125.04,0.0,1,9.0,19.09,0,Precisa Reforma,Médio,Não,Sim,Verde,1914.64
COM-0127,Escritório,Centro,103.96,2.0,2,2.0,4.54,7,Bom,Médio,Sim,Sim,Cinza,7290.0
COM-0128,Quiosque,Zona Norte,22.84,0.0,1,0.0,12.55,0,Precisa Reforma,Alto,Sim,Sim,Vermelha,800.0
COM-0129,Escritório,Área Industrial,,0.0,1,4.0,11.78,9,Precisa Reforma,Alto,Não,Sim,Bege,2903.63
COM-0130,Sala Comercial,Zona Leste,,1.0,1,7.0,14.48,4,Regular,Alto,Sim,Não,Vermelha,800.0
COM-0131,Loja,Zona Oeste,77.08,1.0,1,8.0,10.37,0,Novo,Médio,Sim,Não,Cinza,2399.02
COM-0132,Escritório,Centro,129.55,1.0,1,0.0,1.4,11,Novo,Médio,Sim,Não,Bege,10615.4
COM-0133,Loja,Área Industrial,88.65,3.0,1,19.0,14.31,0,Precisa Reforma,Muito Alto,Sim,Sim,Bege,3114.47
COM-0134,Loja,Área Industrial,166.47,0.0,2,1.0,15.78,0,Novo,Muito Alto,Não,Sim,Verde,13264.73
COM-0135,Quiosque,Zona Oeste,19.07,0.0,1,19.0,11.83,0,Bom,Alto,Sim,Sim,Verde,800.0
COM-0136,Sala Comercial,Zona Oeste,78.37,0.0,1,8.0,11.29,11,Bom,Médio,Sim,Sim,Branca,1753.74
COM-0137,Galpão,Área Industrial,715.18,6.0,4,,19.16,0,Bom,Alto,Sim,Sim,Verde,58200.77
COM-0138,Escritório,Zona Norte,92.19,0.0,1,21.0,11.29,1,Bom,Baixo,Sim,Sim,Branca,831.93
COM-0139,Sala Comercial,Zona Sul,45.44,0.0,1,4.0,5.56,13,Bom,Médio,Sim,Sim,Verde,1554.4
COM-0140,Prédio Comercial,Zona Oeste,947.24,11.0,5,18.0,13.1,8,Bom,Muito Alto,Sim,Sim,Verde,84492.88
COM-0141,Sala Comercial,Zona Norte,60.88,1.0,1,33.0,14.2,11,Bom,Muito Alto,Sim,Não,Cinza,800.0
COM-0142,Loja,Zona Norte,85.83,0.0,1,11.0,9.66,0,Precisa Reforma,Muito Alto,Não,Sim,Azul,2637.5
COM-0143,Prédio Comercial,Zona Leste,1452.85,15.0,11,5.0,12.15,7,Novo,Alto,Não,Sim,Azul,108136.48
COM-0144,Loja,Zona Oeste,67.45,0.0,1,13.0,12.95,0,Bom,Médio,Não,Sim,Azul,1257.55
COM-0145,Escritório,Zona Leste,93.27,1.0,1,56.0,14.15,4,Bom,Muito Alto,Sim,Sim,Branca,1823.92
COM-0146,Prédio Comercial,Centro,1467.39,14.0,12,2.0,0.2,7,Novo,Alto,Sim,Sim,Cinza,198897.05
COM-0147,Loja,Zona Oeste,88.13,2.0,2,14.0,8.29,0,Bom,Alto,Sim,Sim,Amarela,5347.57
COM-0148,Galpão,Zona Sul,559.63,5.0,3,9.0,11.64,0,Bom,Alto,Não,Não,Vermelha,45370.98
COM-0149,Galpão,Zona Sul,502.93,5.0,4,12.0,8.0,0,Precisa Reforma,Baixo,Sim,,Vermelha,17960.3
COM-0150,Loja,Zona Leste,125.24,0.0,1,3.0,12.9,0,Bom,Muito Alto,Sim,Sim,Azul,7870.67
COM-0151,Sala Comercial,Zona Leste,,0.0,1,7.0,16.57,9,Bom,Médio,Sim,Sim,Branca,800.0
COM-0152,Escritório,Centro,107.01,2.0,1,10.0,3.25,6,Regular,Alto,Sim,Não,Verde,6201.54
COM-0153,Sala Comercial,Zona Sul,67.99,2.0,1,14.0,8.52,13,Bom,Baixo,Sim,Sim,Azul,2354.53
COM-0154,Prédio Comercial,Zona Sul,1436.09,15.0,12,25.0,6.5,13,Novo,Baixo,Sim,Sim,Bege,122355.58
COM-0155,Loja,Centro,180.33,1.0,1,21.0,0.32,0,Precisa Reforma,Médio,Não,Sim,Bege,7631.31
COM-0156,Prédio Comercial,Zona Oeste,901.2,10.0,6,47.0,5.92,9,,Alto,Sim,Sim,Amarela,77222.36
COM-0157,Galpão,Centro,804.92,11.0,6,17.0,2.16,0,Bom,Alto,Sim,Sim,Branca,87026.32
COM-0158,Escritório,Zona Sul,96.68,2.0,1,32.0,5.66,0,Regular,Alto,Sim,Sim,Vermelha,4636.41
COM-0159,Sala Comercial,Centro,78.62,0.0,1,5.0,0.2,10,Regular,Médio,Sim,Sim,Azul,3699.44
COM-0160,Galpão,Zona Sul,,8.0,5,0.0,11.7,0,Novo,Alto,Sim,Sim,Azul,66456.58
COM-0161,Sala Comercial,Zona Sul,42.79,2.0,1,2.0,0.4,10,Novo,Médio,Não,Sim,Branca,3448.08
COM-0162,Escritório,Centro,129.56,2.0,2,3.0,3.45,2,Regular,Baixo,Sim,Sim,Verde,6454.0
COM-0163,Galpão,Zona Sul,1093.19,10.0,7,49.0,4.92,0,Bom,Médio,Sim,Sim,Vermelha,84724.47
COM-0164,Prédio Comercial,Zona Sul,827.7,8.0,6,0.0,3.25,12,Regular,Baixo,Não,Sim,Azul,57890.29
COM-0165,Sala Comercial,Centro,53.19,1.0,1,17.0,2.87,10,Novo,Médio,Sim,Sim,Verde,3227.0
COM-0166,Loja,Zona Norte,150.38,0.0,1,0.0,11.59,0,Regular,Médio,Não,Sim,Branca,4782.95
COM-0167,Sala Comercial,Zona Oeste,53.03,2.0,1,2.0,15.4,2,Bom,Médio,Não,Sim,Amarela,1086.58
COM-0168,Sala Comercial,Zona Leste,54.69,0.0,1,19.0,11.66,10,Bom,Médio,Sim,Não,Verde,800.0
COM-0169,Escritório,Área Industrial,79.17,0.0,1,14.0,18.28,7,Novo,Alto,Sim,Sim,Branca,2756.79
COM-0170,Sala Comercial,Zona Norte,65.54,0.0,1,1.0,10.99,5,,Médio,Sim,Sim,Amarela,1093.79
COM-0171,Galpão,Área Industrial,1010.82,12.0,8,4.0,16.08,0,Bom,Alto,Não,Sim,Azul,64452.64
COM-0172,Loja,Zona Norte,121.88,1.0,1,0.0,8.0,0,Novo,Baixo,Não,Sim,Bege,4345.75
COM-0173,Prédio Comercial,Zona Sul,1529.19,17.0,12,2.0,8.72,10,Bom,Médio,Não,Sim,Azul,134497.31
COM-0174,Sala Comercial,Zona Sul,37.43,2.0,1,24.0,9.69,1,Regular,Alto,Sim,Sim,Verde,800.0
COM-0175,Sala Comercial,Centro,78.09,0.0,1,7.0,2.09,2,Regular,Baixo,Sim,Sim,Verde,2894.89
COM-0176,Galpão,Área Industrial,1173.8,12.0,9,0.0,14.05,0,Regular,Baixo,Não,,Azul,46279.42
COM-0177,Sala Comercial,Zona Sul,47.95,1.0,1,12.0,5.28,3,Novo,Baixo,Não,Sim,Vermelha,2038.57
COM-0178,Loja,Zona Leste,115.17,0.0,1,67.0,13.11,0,Novo,Muito Alto,Não,Sim,Amarela,10028.02
COM-0179,Loja,Zona Norte,150.68,,1,24.0,5.99,0,Bom,Médio,Sim,Sim,Bege,5943.81
COM-0180,Prédio Comercial,Zona Norte,1205.61,11.0,9,5.0,11.67,12,Bom,Médio,Sim,Sim,Vermelha,94499.63
COM-0181,Quiosque,Zona Leste,28.1,0.0,1,27.0,12.88,0,Novo,Baixo,Não,Não,Cinza,800.0
COM-0182,Quiosque,Zona Leste,14.56,0.0,1,2.0,17.43,0,Bom,Médio,Não,,Verde,800.0
COM-0183,Prédio Comercial,Zona Norte,681.05,8.0,6,2.0,11.78,2,Novo,Alto,Sim,Sim,Cinza,67908.5
COM-0184,Loja,Zona Norte,105.43,0.0,1,,13.32,0,Precisa Reforma,Médio,Não,Sim,Azul,800.0
COM-0185,Loja,Zona Norte,177.44,0.0,1,41.0,7.64,0,Regular,Médio,Sim,Sim,Amarela,4795.34
COM-0186,Loja,Zona Norte,57.71,1.0,1,1.0,10.86,0,Regular,Baixo,Sim,Sim,Bege,1115.33
COM-0187,Prédio Comercial,Zona Leste,926.89,8.0,8,6.0,11.52,1,Precisa Reforma,Alto,Sim,Sim,Azul,55527.06
COM-0188,Quiosque,Zona Leste,9.65,0.0,1,2.0,12.04,0,Regular,Alto,Sim,Sim,Bege,800.0
COM-0189,Escritório,Área Industrial,108.37,1.0,1,2.0,16.72,14,Novo,Alto,Sim,Sim,Verde,5672.66
COM-0190,Galpão,Zona Sul,517.77,5.0,3,33.0,9.2,0,Novo,Médio,Sim,Sim,Branca,39511.03
COM-0191,Prédio Comercial,Área Industrial,927.52,7.0,8,7.0,17.04,3,Bom,Baixo,Sim,Sim,Cinza,43719.94
COM-0192,Sala Comercial,Zona Sul,119.63,0.0,1,0.0,10.32,7,Regular,Baixo,Não,Não,Branca,2128.87
COM-0193,Sala Comercial,Zona Norte,68.48,0.0,1,24.0,16.74,2,Bom,Médio,Sim,Sim,Branca,800.0
COM-0194,Escritório,Zona Leste,62.9,0.0,2,11.0,13.6,9,Regular,Baixo,Não,Sim,Bege,800.0
COM-0195,Loja,Zona Leste,175.28,3.0,2,6.0,9.57,0,Bom,Baixo,Sim,Sim,Bege,5872.5
COM-0196,Loja,Área Industrial,134.83,2.0,1,,20.84,0,Bom,Médio,Não,Sim,Branca,4760.24
COM-0197,Loja,Zona Sul,107.79,2.0,2,19.0,3.32,0,Regular,Médio,Sim,Não,Amarela,5294.15
COM-0198,Galpão,Zona Leste,802.5,10.0,6,1.0,12.48,0,Bom,Alto,Sim,Sim,Cinza,51595.54
COM-0199,Sala Comercial,Zona Sul,30.88,0.0,1,,4.46,11,Regular,Baixo,Sim,Sim,Amarela,800.0
COM-0200,Escritório,Zona Sul,84.38,0.0,1,0.0,11.93,1,Novo,Alto,Sim,Não,Cinza,5112.59
COM-0201,Escritório,Zona Norte,70.91,3.0,1,8.0,10.03,3,Novo,Médio,Não,Sim,Cinza,2932.73
COM-0202,Loja,Zona Norte,119.0,0.0,1,6.0,14.07,0,Bom,Alto,Não,Sim,Vermelha,5882.24
COM-0203,Galpão,Centro,982.23,11.0,8,37.0,4.06,0,Novo,Alto,Não,Sim,Azul,99827.35
COM-0204,Loja,Centro,139.6,1.0,1,1.0,0.2,0,Novo,Muito Alto,Sim,Não,Amarela,14614.4
COM-0205,Galpão,Centro,412.74,3.0,3,4.0,5.68,0,Regular,Médio,Não,Sim,Vermelha,31343.49
COM-0206,Sala Comercial,Centro,72.01,0.0,1,1.0,3.15,14,Bom,Muito Alto,Não,Sim,Azul,4857.23
COM-0207,Galpão,Zona Sul,675.29,,5,10.0,7.96,0,Precisa Reforma,Médio,Não,Sim,Branca,35571.86
COM-0208,Sala Comercial,Área Industrial,53.35,0.0,1,12.0,16.37,3,Novo,Médio,Sim,Sim,Cinza,800.0
COM-0209,Sala Comercial,Zona Leste,56.07,0.0,1,11.0,11.01,14,Novo,Médio,Sim,Sim,Cinza,800.0
COM-0210,Galpão,Zona Sul,577.78,6.0,5,3.0,4.84,0,Regular,Alto,Sim,Sim,Verde,48284.01
COM-0211,Sala Comercial,Zona Oeste,48.51,2.0,1,11.0,10.84,4,Regular,Muito Alto,Não,Sim,Verde,2056.9
COM-0212,Loja,Centro,58.11,1.0,1,23.0,0.94,0,Regular,Médio,Sim,Sim,Amarela,2940.88
COM-0213,Loja,Zona Sul,122.19,1.0,1,3.0,13.63,0,Bom,Médio,Sim,Sim,Cinza,7409.0
COM-0214,Sala Comercial,Zona Leste,17.92,0.0,1,1.0,10.59,5,Bom,Baixo,Sim,Sim,Amarela,800.0
COM-0215,Loja,Zona Oeste,203.89,1.0,2,3.0,14.89,0,Regular,Médio,Sim,Sim,Verde,6822.09
