@relation versao03-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10

@attribute area_m2 numeric
@attribute bairro_valorizacao {baixo,alto,medio}
@attribute idade_imovel numeric
@attribute vagas_estacionamento numeric
@attribute distancia_centro_km numeric
@attribute fluxo_pessoas_dia numeric
@attribute taxa_vacancia_regiao numeric
@attribute tipo_imovel {loja,sala_comercial,escritorio,galpao}
@attribute padrao_construtivo {medio,baixo,alto}
@attribute preco numeric
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
0.045453,alto,0.043478,0.307692,0.157853,0.184924,0.180844,loja,alto,27591.24,no,no
0.053608,medio,0.231884,0.307692,0.431728,0.225832,0.276625,loja,medio,10465.44,no,no
0.022889,alto,0.478261,0.230769,0,0.184924,0.165629,loja,alto,12311.1,no,no
0.014832,alto,0.144928,0.153846,0.059984,0.368773,0.159059,sala_comercial,medio,10346.55,no,no
0.327568,medio,0.072464,0.615385,0.283346,0.430597,0.419433,galpao,baixo,53895.51,yes,no
0.136476,alto,0.207802,0.615385,0.142857,0.29238,0.152144,galpao,alto,38901.23,no,no
0.023758,alto,0.144928,0.307692,0.093528,0.195511,0,loja,baixo,11183.52,no,no
0.234414,medio,0.26087,0.153846,0.364122,0.340224,0.324689,galpao,medio,39358.3,yes,no
0.188876,baixo,0.217391,0.384615,0.685872,0.112424,0.355571,galpao,medio,25399.07,no,no
0.030718,baixo,0.207802,0.120447,0.494081,0.184924,0.349931,escritorio,baixo,850,no,no
0.015551,medio,0.101449,0.307692,0.442384,0.153574,0.320885,loja,medio,4584.44,no,no
0.021246,baixo,0.289855,0.230769,0.938832,0.021658,0.416321,sala_comercial,baixo,850,no,no
0.049963,alto,0.144928,0.076923,0,0.285292,0.05982,escritorio,baixo,15403.43,no,no
0.008718,baixo,0.15942,0,0.428966,0.022642,0.437068,sala_comercial,medio,850,no,no
0.050744,baixo,0.207802,0.153846,0.834254,0.184924,0.791494,loja,baixo,1125.15,no,no
0.040627,medio,0.710145,0,0.18232,0.246505,0.567773,galpao,medio,5989.88,no,no
0.040302,medio,0.304348,0.153846,0.214286,0.249262,0.355809,escritorio,medio,8357.94,no,no
0.013384,baixo,0.043478,0,0.308208,0.052176,0.51556,sala_comercial,baixo,850,no,no
0.018942,baixo,0.333333,0,0.567877,0.05001,0.551176,sala_comercial,baixo,850,no,no
0.023273,baixo,0.144928,0.230769,0.411208,0.04686,0.708506,escritorio,alto,2071.28,no,no
0.299105,alto,0.101449,1,0.092739,0.44812,0.211618,galpao,baixo,65821.24,yes,no
0.037262,medio,0.173913,0.153846,0.286504,0.168537,0.24343,loja,medio,7658.42,no,no
0.036618,medio,0.449275,0.153846,0.36543,0.185076,0.254495,loja,medio,7982.92,no,no
0.041372,medio,0.521739,0,0.352013,0.223666,0.251729,galpao,alto,7712.69,no,no
0.081915,medio,0.15942,0.153846,0.328335,0.199252,0.518326,galpao,medio,14832.53,no,no
0.167146,medio,0.275362,0.692308,0.265588,0.273479,0.277317,galpao,alto,38508.23,yes,no
0.01807,baixo,0.028986,0,0.466456,0.033274,0.717151,loja,alto,850,no,no
0.045062,medio,0.15942,0.153846,0.390687,0.214412,0.333679,loja,medio,8011.25,no,no
0.000007,medio,0.043478,0.076923,0.220205,0.104745,0.463001,loja,baixo,1134.89,no,no
0.050988,baixo,0.637681,0.230769,0.711918,0.113211,0.577455,loja,baixo,2915.67,no,no
0.107228,medio,0.043478,0.076923,0.277032,0.211262,0.099585,galpao,baixo,20009.42,no,no
0.01463,medio,0.043478,0,0.195738,0.190786,0.282503,sala_comercial,medio,3919.35,no,no
0.028581,medio,0.043478,0,0.314522,0.149636,0.271093,escritorio,medio,5097.93,no,no
0.021975,alto,0.086957,0.153846,0.102999,0.184924,0.169779,sala_comercial,alto,10017.02,no,no
0.066094,alto,0.144928,0,0.24783,0.275054,0.191563,loja,baixo,14399.42,no,no
0.000007,medio,0.101449,0,0.271902,0.067927,0.381743,sala_comercial,alto,850,no,no
0.019456,medio,0.207802,0,0.318074,0.253987,0.292531,escritorio,medio,7844.48,no,no
0.007579,alto,0.26087,0.120447,0.364122,0.18291,0.048755,escritorio,medio,5232.4,no,no
0.023732,medio,0.115942,0.153846,0.278216,0.147076,0.156985,escritorio,alto,8264.61,no,no
0.02955,medio,0.086957,0.076923,0.307419,0.16834,0.368603,escritorio,baixo,5965.27,no,no
0.01944,medio,0.492754,0.230769,0.411602,0.104154,0.220609,escritorio,baixo,1622.65,no,no
0.032892,baixo,0.347826,0,0.626283,0.062611,0.571577,escritorio,alto,850,no,no
0.21773,medio,0.391304,0.230769,0.265588,0.332152,0.251037,galpao,alto,45559.93,yes,no
0.012414,medio,0.207802,0.153846,0.243094,0.176019,0.423928,sala_comercial,medio,850,no,no
0.001998,alto,0.202899,0,0.059195,0.796023,0.03527,sala_comercial,baixo,22169.36,yes,no
0.216874,baixo,0.144928,0.615385,0.364122,0.250049,0.669779,galpao,baixo,28422.07,yes,no
0.060998,medio,0.207802,0.076923,0.2794,0.163812,0.480636,loja,baixo,5794.13,no,no
0.000007,medio,0.188406,0,0.16693,0.101595,0.102351,loja,alto,850,no,no
0.236396,medio,0.217391,0.461538,0.248224,0.285883,0.292877,galpao,medio,44095.44,yes,no
0.038343,baixo,0.246377,0,0.38674,0.081118,0.355571,escritorio,medio,3178.4,no,no
0.009424,baixo,0.072464,0.153846,0.716259,0.021461,0.854426,sala_comercial,medio,850,no,no
0.100343,baixo,0.246377,0.153846,0.450671,0.146682,0.812241,galpao,medio,10575.23,no,no
0.009765,baixo,0.275362,0,0.749408,0.022839,0.545989,sala_comercial,medio,850,no,no
0.128855,medio,0.15942,0.615385,0.420679,0.295728,0.355571,galpao,medio,27252.76,no,no
0.192947,baixo,0,0.384615,0.642463,0.18921,0.637621,galpao,medio,25915.09,no,no
0.687391,baixo,1,0,0.771507,0,0.844744,escritorio,medio,6402.82,yes,yes
0.021965,alto,0.086957,0.076923,0.065509,0.258122,0.10408,loja,alto,13123.58,no,no
0.012597,alto,0.289855,0.120447,0.245067,0.302028,0.135546,escritorio,alto,9138.58,no,no
0.029004,medio,0.26087,0,0.460142,0.189998,0.273859,loja,baixo,3840.4,no,no
0.008711,medio,0.014493,0,0.283346,0.146682,0.225104,escritorio,baixo,3237.83,no,no
0.010625,alto,0.318841,0.153846,0.088792,0.270329,0.210235,sala_comercial,medio,6749.86,no,no
0.169085,baixo,0.318841,0.307692,0.384373,0.175428,0.587137,galpao,baixo,18605.59,no,no
0.032886,medio,0.043478,0,0.204815,0.184924,0.42704,loja,medio,6503.34,no,no
0.027028,medio,0.333333,0,0.405288,0.113408,0.466459,loja,baixo,850,no,no
0.060998,medio,0.072464,0.230769,0.511444,0.152983,0.277663,loja,medio,7371.04,no,no
0.015395,baixo,0.043478,0,0.651934,0.079937,0.416667,escritorio,alto,850,no,no
0.139056,medio,0.405797,0,0.616022,0.126403,0.487552,galpao,medio,12415.93,no,no
0.011132,medio,0.207802,0,0.167324,0.210868,0.46473,sala_comercial,medio,5862.6,no,no
0.032466,baixo,0.014493,0.076923,0.61247,0.075999,0.484094,escritorio,medio,1727.02,no,no
0.002942,alto,0.072464,0,0.364122,0.741878,0.56397,sala_comercial,medio,13416.88,yes,no
0.060998,medio,0.072464,0.120447,0.428571,0.18547,0.361342,loja,medio,5790.22,no,no
0.196862,baixo,0.173913,0.307692,0.447119,0.295137,0.507607,galpao,medio,29418.46,yes,no
0.275549,alto,0.42029,0.076923,0.364122,1,0.188105,loja,medio,193608.4,yes,no
0.1968,medio,0.115942,0.153846,0.385556,0.283127,0.323997,galpao,medio,34822.98,yes,no
0.013654,medio,0.362319,0.120447,0.529203,0.129159,0.395228,sala_comercial,medio,850,no,no
0.016612,alto,0.072464,0.120447,0.169298,0.225635,0.171508,sala_comercial,baixo,6607.71,no,no
0.000007,alto,0.449275,0,0,0.272691,0,escritorio,alto,4364.71,no,no
0.012876,alto,0.333333,0,0.224152,0.277023,0.135201,sala_comercial,medio,4582.59,no,no
0.060998,baixo,0.130435,0,0.152328,0.149242,0.534924,loja,medio,6302,no,no
0.032733,alto,0.057971,0.120447,0.104972,0.27722,0.032849,escritorio,medio,16116.59,no,no
0.031942,alto,0.144928,0.153846,0.119574,0.35125,0.207123,loja,medio,15893.38,no,no
0.024145,alto,0.144928,0,0.153118,0.240795,0.222683,sala_comercial,alto,10790.59,no,no
0.031138,alto,0.289855,0.153846,0.056038,0.313054,0.137967,loja,baixo,13387.48,no,no
0.043924,baixo,0.304348,0.230769,0.448698,0.135657,0.409405,escritorio,medio,4190.98,no,no
0.007139,baixo,0.521739,0,0.690213,0.017129,0.377593,loja,medio,850,no,no
0.009883,baixo,0.057971,0.153846,0.504736,0.095294,0.521093,loja,alto,1166.34,no,no
0.064639,baixo,0.144928,0.153846,0.58603,0.089978,0.616183,loja,medio,7127.71,no,no
0.242461,medio,0.449275,0.615385,0.364122,0.507777,0.047718,galpao,medio,60147.85,yes,no
0.010426,alto,0,0.230769,0.138122,0.347312,0.167012,sala_comercial,baixo,9556.37,no,no
0.004419,medio,0.072464,0.153846,0.312944,0.152983,0.339557,sala_comercial,alto,4341.68,no,no
0.002255,medio,0.101449,0.076923,0.442778,0.159283,0.378631,sala_comercial,medio,850,no,no
0.013579,medio,0.130435,0,0.426993,0.145698,0.115145,sala_comercial,baixo,3905.33,no,no
0.04613,alto,0.173913,0.076923,0.246646,0.294546,0.162863,loja,baixo,15235.38,no,no
0.20281,alto,0.173913,0.461538,0.072218,0.184924,0.355571,galpao,alto,60313.95,yes,no
0.007764,medio,0.057971,0,0.305051,0.163615,0.295297,sala_comercial,medio,3089.33,no,no
0.258731,baixo,0.695652,0.461538,0.589582,0.197086,0.525242,loja,medio,30930.81,yes,no
0.003186,alto,0.144928,0.076923,0.076164,0.815712,0.382434,escritorio,baixo,23921.52,yes,no
0.042482,alto,0.057971,0.076923,0.131018,0.310691,0.254149,loja,baixo,12763.37,no,no
0.052358,medio,0.289855,0.076923,0.40371,0.210278,0.271784,loja,medio,11735.78,no,no
0.012457,medio,0.202899,0,0.535517,0.119709,0.355571,sala_comercial,baixo,850,no,no
0.060998,alto,0.057971,0.076923,0.086425,0.196495,0.041494,sala_comercial,alto,4801.22,no,no
0.031835,baixo,0.207802,0.076923,0.479874,0.075212,0.440871,loja,medio,2954.98,no,no
0.002623,medio,0.072464,0,0.364122,0.168931,0.319156,sala_comercial,medio,850,no,no
0.013404,medio,0.217391,0,0.235596,0.151014,0.348548,sala_comercial,medio,2544.92,no,no
0.138659,baixo,0.057971,0,0.518548,0.09746,0.698479,galpao,medio,15143.44,no,no
0.210272,medio,0.072464,0.615385,0.269929,0.273676,0.343015,galpao,baixo,33201,yes,no
0.063715,baixo,0.130435,0.153846,0.671271,0.019295,0.419779,loja,baixo,2930.56,no,no
0.028883,medio,0.115942,0.153846,0.31176,0.202402,0.319502,sala_comercial,alto,7570.42,no,no
0.023254,medio,0.376812,0.153846,0.192581,0.185666,0.138313,sala_comercial,alto,6973.25,no,no
0.06023,baixo,0.246377,0.307692,0.567088,0.063005,0.369295,loja,medio,5477.46,no,no
0.0405,alto,0.318841,0.076923,0.232044,0.340815,0.224758,escritorio,baixo,11783.95,no,no
0.058313,medio,0.086957,0.230769,0.447119,0.145304,0.437068,loja,alto,13053.27,no,no
0.021861,medio,0.028986,0.076923,0.375296,0.218153,0.349239,escritorio,alto,5632,no,no
0.000007,alto,0.130435,0,0.364122,0.261666,0.157331,sala_comercial,baixo,2857.51,no,no
0.01682,medio,0.115942,0.076923,0.498421,0.229376,0.298409,sala_comercial,baixo,2464.52,no,no
0.013172,medio,0.101449,0.153846,0.23678,0.158496,0.399378,sala_comercial,medio,4308.37,no,no
0.01189,baixo,0.318841,0,0.691792,0.064383,0.385892,sala_comercial,alto,850,no,no
0.026687,baixo,0.246377,0.230769,0.336622,0.105139,0.440526,escritorio,baixo,1268.03,no,no
0.019895,alto,0.492754,0.076923,0.11326,0.189604,0.147649,sala_comercial,baixo,4458.01,no,no
0.175421,baixo,0.231884,0.615385,0.514207,0.220713,0.403181,galpao,medio,26474.68,no,no
0.03024,medio,0.188406,0.120447,0.212313,0.17405,0.33195,escritorio,alto,8851.64,no,no
0.043562,baixo,0.072464,0,0.27427,0.112227,0.355571,loja,medio,5695.25,no,no
0.149769,baixo,0.173913,0.076923,0.476717,0.200827,0.51556,galpao,medio,21924.02,no,no
0.035046,medio,0.130435,0.120447,0.362668,0.170703,0.399032,escritorio,medio,6581.39,no,no
0.010992,alto,0.173913,0,0.071034,0.153377,0.141425,sala_comercial,medio,6032.85,no,no
0.036306,baixo,0.188406,0,0.364122,0.149439,0.778008,escritorio,medio,2127.36,no,no
0.020852,baixo,0.15942,0.076923,0.374901,0.13546,0.385201,escritorio,baixo,1940.57,no,no
0.057665,medio,0.376812,0.153846,0.395422,0.263831,0.194675,loja,medio,11223.24,no,no
0.000007,medio,0.231884,0.120447,0.26835,0.054538,0.143845,escritorio,baixo,850,no,no
0.204109,alto,0.086957,0.538462,0.033544,0.514471,0.208852,galpao,baixo,55566.31,yes,no
0.005535,baixo,0.188406,0.230769,0.746251,0.062217,0.649032,escritorio,medio,850,no,no
0.03666,alto,0.072464,0.120447,0.141279,0.184924,0.192254,escritorio,baixo,12035.65,no,no
0.024305,baixo,0.73913,0,0.325967,0.089585,0.787344,escritorio,baixo,850,no,no
0.034093,medio,0.231884,0.076923,0.315312,0.084662,0.282158,loja,baixo,3657.58,no,no
0.029654,medio,0.207802,0.153846,0.438437,0.0886,0.401452,sala_comercial,baixo,3158.8,no,no
0.051463,baixo,0.42029,0.153846,0.715075,0.015357,0.529737,loja,medio,1489.36,no,no
0.145447,baixo,0.231884,0.230769,0.51618,0.17976,0.487898,galpao,alto,23641.65,no,no
0.021353,medio,0.15942,0,0.507103,0.102579,0.207469,escritorio,baixo,1511.87,no,no
0.026312,medio,0.086957,0.307692,0.176006,0.247883,0.152835,loja,baixo,10396.75,no,no
0.055999,medio,0.173913,0.076923,0.217837,0.240992,0.211964,loja,baixo,11715.15,no,no
0.056663,baixo,0.144928,0,0.511444,0.072652,0.501729,loja,medio,6026.59,no,no
0.232784,medio,0.565217,0.769231,0.346093,0.449498,0.173582,galpao,medio,44360.62,yes,no
0.060998,alto,0.144928,0.153846,0.218232,0.26265,0.154219,loja,baixo,12782.57,no,no
0.000007,medio,0.130435,0,0.451855,0.128175,0.459544,sala_comercial,alto,850,no,no
0.186693,medio,0.101449,0.461538,0.393844,0.246702,0.459889,galpao,medio,32995.48,no,no
0.040507,baixo,0.086957,0.076923,0.452644,0.096869,0.420816,loja,medio,5412.53,no,no
0.045313,baixo,0.144928,0.230769,0.414365,0.109667,0.790802,loja,alto,8300.83,no,no
0.073796,alto,0.275362,0.153846,0.125888,0.225241,0.156293,loja,medio,21421.84,no,no
0.031233,medio,0.101449,0.153846,0.452249,0.07974,0.585062,loja,alto,4565.85,no,no
0.021913,medio,0.028986,0,0.282952,0.17976,0.24101,loja,medio,4481.75,no,no
0.066058,medio,0.144928,0.153846,0.199684,0.252018,0.340941,loja,alto,18349.91,no,no
0.023338,medio,0.028986,0,0.335438,0.11203,0.245505,loja,medio,5425.42,no,no
0.307696,medio,0.188406,0.538462,0.263615,0.334318,0.479253,galpao,medio,53706.72,yes,no
0.04352,medio,0.15942,0,0.279006,0.198267,0.298064,escritorio,medio,11110.67,no,no
0.005695,alto,0.144928,0,0.1985,0.271116,0.146957,escritorio,alto,7438.29,no,no
